Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-07-17 13:30:39,Other,AIR TEMPERATURE 2 HOURS BEFORE SPRINT QUALIFYING = 26 DEGREES,,,,,,1
2021-07-17 15:00:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-07-17 15:05:01,Other,PIT EXIT CLOSED,,,,,,1
2021-07-17 15:15:02,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING SESSION IS 0%,,,,,,1
2021-07-17 15:27:04,Drs,DRS DISABLED,DISABLED,,,,,1
2021-07-17 15:33:42,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-07-17 15:34:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1
2021-07-17 15:34:05,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1
2021-07-17 15:34:11,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1
2021-07-17 15:34:23,CarEvent,CAR 9 (MAZ) SPUN AND CONTINUED AT TURN 3,,,,,9,1
2021-07-17 15:34:30,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1
2021-07-17 15:34:31,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
2021-07-17 15:35:38,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 7,,,,,55,2
2021-07-17 15:36:48,Drs,DRS ENABLED,ENABLED,,,,,3
2021-07-17 15:37:58,Other,TURN 3 INCIDENT INVOLVING CARS 9 (MAZ) AND 47 (MSC) NOTED - NO INVESTIGATION NECESSARY,,,,,,3
2021-07-17 15:38:34,Other,TURN 6 INCIDENT INVOLVING CARS 63 (RUS) AND 55 (SAI) NOTED,,,,,,4
2021-07-17 15:41:46,CarEvent,CAR 11 (PER) SPUN AND CONTINUED AT TURN 14,,,,,11,6
2021-07-17 15:42:07,Other,TURN 6 INCIDENT INVOLVING CARS 63 (RUS) AND 55 (SAI) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,6
2021-07-17 15:43:14,Other,CAR 7 (RAI) TIME 1:32.928 DELETED - TRACK LIMITS AT TURN 9,,,,,,7
2021-07-17 15:44:41,Other,TURN 6 INCIDENT INVOLVING CARS 63 (RUS) AND 55 (SAI) - WILL BE INVESTIGATED AFTER THE SESSION,,,,,,8
2021-07-17 15:44:46,Other,CAR 10 (GAS) TIME 1:33.219 DELETED - TRACK LIMITS AT TURN 9,,,,,,8
2021-07-17 15:47:56,Other,CAR 6 (LAT) TIME 1:33.212 DELETED - TRACK LIMITS AT TURN 9,,,,,,10
2021-07-17 15:54:17,Other,CAR 99 (GIO) TIME 1:32.481 DELETED - TRACK LIMITS AT TURN 9,,,,,,14
2021-07-17 15:59:23,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,17
